제품코드,수량,송장 번호
A105,5,a117010110001
A102,2,a117010110001
A103,1,a117010110001
B106,4,a117010110001
C104,4,a117010510001
B101,2,a117010510001
A105,1,a117010510001
C102,2,a117010510001
B105,2,a117011110001
A108,3,a117011110001
A110,4,a117011110001
D108,2,a117011110001
A108,2,a117011710001
E102,1,a117011710001
B105,2,a117011710001
A105,3,a117011710001
E102,1,a117011910001
B104,4,a117011910001
A110,2,a117011910001
C103,4,a117011910001
B107,6,a117012010001
D108,3,a117012010001
E103,5,a117012010001
A110,2,a117012010001
E101,5,a117020110003
C103,7,a117020110003
E104,5,a117020110003
D103,4,a117020110003
C101,2,a117021610002
B105,3,a117021610002
C104,4,a117021610002
D102,5,a117021610002
C107,2,a117021910002
D107,7,a117021910002
E104,5,a117021910002
A104,4,a117021910002
A107,3,a117022410002
D105,7,a117022410002
A109,4,a117022410002
C107,5,a117022410002
A110,3,a117040410002
E102,2,a117040410002
E104,5,a117040410002
A105,5,a117040410002
C101,2,a117040810002
D106,8,a117040810002
C108,2,a117040810002
B105,3,a117040810002
B107,4,a117041410002
E102,3,a117041410002
A106,3,a117041410002
A103,7,a117041410002
D105,3,a117041710002
E105,2,a117041710002
E102,1,a117041710002
C104,1,a117041710002
A107,3,a117041810002
D105,3,a117041810002
E105,2,a117041810002
A104,4,a117041810002
B103,4,a117042310002
C102,4,a117042310002
E105,3,a117042310002
A104,2,a117042310002
A109,4,a117050810003
A101,5,a117050810003
D103,7,a117050810003
D101,6,a117050810003
B107,3,a117051310003
E102,2,a117051310003
E101,3,a117051310003
A103,7,a117051310003
C102,1,a117051810003
A105,3,a117051810003
A106,2,a117051810003
C106,2,a117051810003
C107,4,a117060110003
E103,7,a117060110003
C105,5,a117060110003
C108,4,a117060110003
D109,3,a117060210003
D107,9,a117060210003
A107,2,a117060210003
A103,3,a117060210003
C102,1,a117060710001
E104,4,a117060710001
C107,2,a117060710001
B103,1,a117060710001
B104,3,a117060810001
A104,3,a117060810001
A107,5,a117060810001
A105,4,a117060810001
E103,1,a117061010003
D103,2,a117061010003
D108,1,a117061010003
D104,3,a117061010003
A105,5,a117061310001
A102,4,a117061310001
A103,2,a117061310001
B106,3,a117061310001
C104,6,a117061310003
B101,4,a117061310003
A105,2,a117061310003
C102,3,a117061310003
B105,3,a117061510001
A108,4,a117061510001
A110,3,a117061510001
D108,5,a117061510001
A108,4,a117061810001
E102,2,a117061810001
B105,5,a117061810001
A105,2,a117061810001
E102,3,a117061810003
B104,3,a117061810003
A110,1,a117061810003
C103,3,a117061810003
B107,1,a117062010001
D108,7,a117062010001
E103,2,a117062010001
A110,1,a117062010001
E101,4,a117062510001
C103,3,a117062510001
E104,2,a117062510001
D103,4,a117062510001
C101,3,a117062910002
B105,6,a117062910002
C104,7,a117062910002
D102,5,a117062910002
C107,3,a117063010002
D107,6,a117063010002
E104,3,a117063010002
A104,2,a117063010002
A107,2,a117080610001
D105,3,a117080610001
A109,3,a117080610001
C107,1,a117080610001
A110,3,a117081010001
E102,1,a117081010001
E104,7,a117081010001
A105,2,a117081010001
C101,1,a117081110001
D106,4,a117081110001
C108,3,a117081110001
B105,2,a117081110001
B107,4,a117081310001
E102,3,a117081310001
A106,6,a117081310001
A103,7,a117081310001
D105,2,a117081410001
E105,3,a117081410001
E102,3,a117081410001
C104,1,a117081410001
A107,3,a117081810001
D105,1,a117081810001
E105,7,a117081810001
A104,2,a117081810001
B103,1,a117090410002
C102,4,a117090410002
E105,3,a117090410002
A104,2,a117090410002
A109,4,a117090510002
A101,3,a117090510002
D103,6,a117090510002
D101,7,a117090510002
B107,5,a117090910002
E102,2,a117090910002
E101,1,a117090910002
A103,4,a117090910002
C102,4,a117091210002
A105,2,a117091210002
A106,1,a117091210002
C106,2,a117091210002
C107,2,a117091510002
E103,3,a117091510002
C105,4,a117091510002
C108,2,a117091510002
D109,2,a117100110003
D107,1,a117100110003
A107,2,a117100110003
A103,3,a117100110003
C102,1,a117100510002
E104,4,a117100510002
C107,2,a117100510002
B103,4,a117100510002
B104,6,a117100810002
A104,3,a117100810002
A107,5,a117100810002
A105,2,a117100810002
E103,5,a117100910002
D103,7,a117100910002
D108,5,a117100910002
D104,4,a117100910002
A105,2,a117101910002
A102,3,a117101910002
A103,4,a117101910002
B106,5,a117101910002
C104,2,a117102010002
B101,7,a117102010002
A105,5,a117102010002
C102,4,a117102010002
B105,3,a117102410002
A108,7,a117102410002
A110,4,a117102410002
D108,5,a117102410002
A108,3,a117102510002
E102,2,a117102510002
B105,5,a117102510002
A105,5,a117102510002
E102,2,a117102510003
B104,8,a117102510003
A110,2,a117102510003
C103,3,a117102510003
B107,4,a117102610003
D108,3,a117102610003
E103,3,a117102610003
A110,7,a117102610003
E101,3,a117102710002
C103,2,a117102710002
E104,1,a117102710002
D103,1,a117102710002
C101,3,a117102710003
B105,3,a117102710003
C104,2,a117102710003
D102,4,a117102710003
C107,4,a117102810002
D107,4,a117102810002
E104,3,a117102810002
A104,2,a117102810002
A107,4,a117103010001
D105,5,a117103010001
A109,7,a117103010001
C107,6,a117103010001
A110,3,a117110110001
E102,2,a117110110001
E104,3,a117110110001
A105,7,a117110110001
C101,1,a117110410001
D106,3,a117110410001
C108,2,a117110410001
B105,2,a117110410001
B107,4,a117111610003
E102,7,a117111610003
A106,5,a117111610003
A103,4,a117111610003
D105,3,a117111710003
E105,9,a117111710003
E102,2,a117111710003
C104,3,a117111710003
A107,1,a117111910003
D105,4,a117111910003
E105,2,a117111910003
A104,1,a117111910003
B103,3,a117112010003
C102,3,a117112010003
E105,5,a117112010003
A104,4,a117112010003
A109,1,a117112410003
A101,2,a117112410003
D103,1,a117112410003
D101,3,a117112410003
B107,5,a117112710003
E102,4,a117112710003
E101,2,a117112710003
A103,3,a117112710003
C102,6,a117113010003
A105,4,a117113010003
A106,2,a117113010003
C106,3,a117113010003
C107,3,a118011410001
E103,4,a118011410001
C105,3,a118011410001
C108,5,a118011410001
D109,4,a118011610001
