공급코드,제품코드,날짜,수량,상태
A190505001,A105,2019-05-05,100,0
A190505002,A108,2019-05-05,100,0
A190505003,A110,2019-05-05,100,0
A190505004,A112,2019-05-05,100,0
A190505005,A113,2019-05-05,100,0
A190507001,A101,2019-05-07,100,0
A190507002,A103,2019-05-07,100,0
A190507003,A105,2019-05-07,100,0
A190507004,A108,2019-05-07,100,0
A190507005,A110,2019-05-07,100,0
A190507006,A112,2019-05-07,100,0
A190507007,A113,2019-05-07,100,0
A190507008,A114,2019-05-07,100,0
A190508001,A101,2019-05-08,100,0
A190508002,A102,2019-05-08,100,0
A190508003,A103,2019-05-08,100,0
A190508004,A104,2019-05-08,100,0
A190508005,A105,2019-05-08,100,0
A190508006,A106,2019-05-08,100,0
A190707001,A101,2019-07-07,100,0
A190707002,A102,2019-07-07,100,0
A190707003,A103,2019-07-07,100,0
A190707004,A104,2019-07-07,100,0
A190707005,A105,2019-07-07,100,0
A190707006,A106,2019-07-07,100,0
A190705001,A102,2019-07-05,100,0
A190705002,A104,2019-07-05,100,0
A190705003,A105,2019-07-05,100,0
A190705004,A109,2019-07-05,100,0
